time,value,date
00:55:31,76,2022-03-23
00:55:36,77,2022-03-23
00:55:41,77,2022-03-23
00:55:51,78,2022-03-23
00:55:56,81,2022-03-23
00:56:01,81,2022-03-23
00:56:06,81,2022-03-23
00:56:11,80,2022-03-23
00:56:26,81,2022-03-23
00:56:31,80,2022-03-23
00:56:41,80,2022-03-23
00:56:51,80,2022-03-23
00:56:56,80,2022-03-23
00:57:01,79,2022-03-23
00:57:06,80,2022-03-23
00:57:11,78,2022-03-23
00:57:16,80,2022-03-23
00:57:21,76,2022-03-23
00:57:26,75,2022-03-23
00:57:36,76,2022-03-23
00:57:41,77,2022-03-23
00:57:46,78,2022-03-23
00:58:01,77,2022-03-23
00:58:06,78,2022-03-23
00:58:11,77,2022-03-23
00:58:16,77,2022-03-23
00:58:21,78,2022-03-23
00:58:26,79,2022-03-23
00:58:31,78,2022-03-23
00:58:36,77,2022-03-23
00:58:46,77,2022-03-23
00:58:51,78,2022-03-23
00:58:56,79,2022-03-23
00:59:01,79,2022-03-23
00:59:06,79,2022-03-23
00:59:11,79,2022-03-23
00:59:16,81,2022-03-23
00:59:26,79,2022-03-23
00:59:36,79,2022-03-23
00:59:46,79,2022-03-23
01:00:01,79,2022-03-23
01:00:06,76,2022-03-23
01:00:16,78,2022-03-23
01:00:21,78,2022-03-23
01:00:26,78,2022-03-23
01:00:31,79,2022-03-23
01:00:46,83,2022-03-23
01:00:51,84,2022-03-23
01:01:01,81,2022-03-23
01:01:11,80,2022-03-23
01:01:16,79,2022-03-23
01:01:26,81,2022-03-23
01:01:31,80,2022-03-23
01:01:36,79,2022-03-23
01:01:41,78,2022-03-23
01:01:56,78,2022-03-23
01:02:06,79,2022-03-23
01:02:16,78,2022-03-23
01:02:21,78,2022-03-23
01:02:26,79,2022-03-23
01:02:41,80,2022-03-23
01:02:46,83,2022-03-23
01:02:51,86,2022-03-23
01:02:56,82,2022-03-23
01:03:01,80,2022-03-23
01:03:16,80,2022-03-23
01:03:31,80,2022-03-23
01:03:46,79,2022-03-23
01:03:56,82,2022-03-23
01:04:01,84,2022-03-23
01:04:06,83,2022-03-23
01:04:11,82,2022-03-23
01:04:16,81,2022-03-23
01:04:21,82,2022-03-23
01:04:26,80,2022-03-23
01:04:31,80,2022-03-23
01:04:36,81,2022-03-23
01:04:41,82,2022-03-23
01:04:46,83,2022-03-23
01:04:51,81,2022-03-23
01:04:56,79,2022-03-23
01:05:01,80,2022-03-23
01:05:06,82,2022-03-23
01:05:11,83,2022-03-23
01:05:17,83,2022-03-23
01:05:22,83,2022-03-23
01:05:27,84,2022-03-23
01:05:32,85,2022-03-23
01:05:42,84,2022-03-23
01:05:47,83,2022-03-23
01:05:52,82,2022-03-23
01:06:07,82,2022-03-23
01:06:12,83,2022-03-23
01:06:17,84,2022-03-23
01:06:22,84,2022-03-23
01:06:32,83,2022-03-23
01:06:37,81,2022-03-23
01:06:52,81,2022-03-23
01:07:07,81,2022-03-23
01:07:12,81,2022-03-23
01:07:22,82,2022-03-23
01:07:27,84,2022-03-23
01:07:32,85,2022-03-23
01:07:37,83,2022-03-23
01:07:42,79,2022-03-23
01:07:47,75,2022-03-23
01:07:52,75,2022-03-23
01:08:02,77,2022-03-23
01:08:17,79,2022-03-23
01:08:27,79,2022-03-23
01:08:32,78,2022-03-23
01:08:37,78,2022-03-23
01:08:42,79,2022-03-23
01:08:52,78,2022-03-23
01:08:57,77,2022-03-23
01:09:02,76,2022-03-23
01:09:12,76,2022-03-23
01:09:17,76,2022-03-23
01:09:27,77,2022-03-23
01:09:32,78,2022-03-23
01:09:47,77,2022-03-23
01:09:52,75,2022-03-23
01:09:57,76,2022-03-23
01:10:02,75,2022-03-23
01:10:07,75,2022-03-23
01:10:12,75,2022-03-23
01:10:27,77,2022-03-23
01:10:32,78,2022-03-23
01:10:37,77,2022-03-23
01:10:42,76,2022-03-23
01:10:57,77,2022-03-23
01:11:02,78,2022-03-23
01:11:07,77,2022-03-23
01:11:12,78,2022-03-23
01:11:22,79,2022-03-23
01:11:27,81,2022-03-23
01:11:32,78,2022-03-23
01:11:37,76,2022-03-23
01:11:42,78,2022-03-23
01:11:47,80,2022-03-23
01:11:52,79,2022-03-23
01:11:57,75,2022-03-23
01:12:02,72,2022-03-23
01:12:07,71,2022-03-23
01:12:12,72,2022-03-23
01:12:17,73,2022-03-23
01:12:32,73,2022-03-23
01:12:42,75,2022-03-23
01:12:47,76,2022-03-23
01:12:52,76,2022-03-23
01:12:57,74,2022-03-23
01:13:12,74,2022-03-23
01:13:17,74,2022-03-23
01:13:27,73,2022-03-23
01:13:32,72,2022-03-23
01:13:42,74,2022-03-23
01:13:52,75,2022-03-23
01:14:07,74,2022-03-23
01:14:12,73,2022-03-23
01:14:27,73,2022-03-23
01:14:42,74,2022-03-23
01:14:52,75,2022-03-23
01:14:57,75,2022-03-23
01:15:07,78,2022-03-23
01:15:12,76,2022-03-23
01:15:17,77,2022-03-23
01:15:22,76,2022-03-23
01:15:27,73,2022-03-23
01:15:37,75,2022-03-23
01:15:42,74,2022-03-23
01:15:47,74,2022-03-23
01:16:02,75,2022-03-23
01:16:07,74,2022-03-23
01:16:12,72,2022-03-23
01:16:17,71,2022-03-23
01:16:22,70,2022-03-23
01:16:27,69,2022-03-23
01:16:37,70,2022-03-23
01:16:52,70,2022-03-23
01:17:07,70,2022-03-23
01:17:17,71,2022-03-23
01:17:22,74,2022-03-23
01:17:32,73,2022-03-23
01:17:37,74,2022-03-23
