time,value,date
01:37:31,72,2022-03-23
01:37:41,77,2022-03-23
01:37:46,80,2022-03-23
01:37:51,79,2022-03-23
01:37:56,78,2022-03-23
01:38:01,75,2022-03-23
01:38:06,74,2022-03-23
01:38:11,73,2022-03-23
01:38:16,73,2022-03-23
01:38:21,70,2022-03-23
01:38:26,68,2022-03-23
01:38:31,70,2022-03-23
01:38:36,72,2022-03-23
01:38:41,70,2022-03-23
01:38:46,67,2022-03-23
01:38:51,66,2022-03-23
01:38:56,67,2022-03-23
01:39:01,67,2022-03-23
01:39:06,64,2022-03-23
01:39:11,64,2022-03-23
01:39:16,65,2022-03-23
01:39:21,66,2022-03-23
01:39:26,66,2022-03-23
01:39:41,66,2022-03-23
01:39:46,66,2022-03-23
01:39:51,64,2022-03-23
01:39:56,65,2022-03-23
01:40:06,66,2022-03-23
01:40:11,67,2022-03-23
01:40:21,66,2022-03-23
